Carex_aquatilis||NUN|spm00005450|Phacocystis
Carex_aquatilis||NUN|spm00005452|Phacocystis
Carex_aquatilis||NUN|spm00005448|Phacocystis
Carex_aquatilis||NUN|spm00005449|Phacocystis
Carex_aquatilis_var._aquatilis|B884|NFL|spm00001485|Phacocystis
Carex_sect.Phacocystis|B1539||spm00002145|Phacocystis
Carex_aquatilis||QUE|spm00005232|Phacocystis
Carex_aquatilis||FIN|spm00003073|Phacocystis
Carex_vacillans|B1282|MAI|spm00001889|Phacocystis
Carex_azuayae||VEN|spm00000593|Phacocystis
Carex_enneastachya||ECU|spm00000600|Phacocystis
Carex_kelloggii_var._impressa|B398|CAL|spm00001016|Phacocystis
Carex_andersonii||AGS|spm00000522|Phacocystis
Carex_decidua||CLS|spm00000570|Phacocystis
Carex_senta|B1278|ARI|spm00001885|Phacocystis
Carex_schottii|B1074|CAL|spm00001681|Phacocystis
Carex_bigelowii||NUN|spm00005467|Phacocystis
Carex_bigelowii||NUN|spm00005465|Phacocystis
Carex_bigelowii|||spm00003230|Phacocystis
Carex_bigelowii||NWH|spm00005461|Phacocystis
Carex_bigelowii||NUN|spm00005466|Phacocystis
Carex_bigelowii||NWT|spm00005469|Phacocystis
Carex_bigelowii||NUN|spm00005464|Phacocystis
Carex_randalpina||AUT|spm00003098|Phacocystis
Carex_darwinii||CLS|spm00000571|Phacocystis
Carex_micrantha||KOR|spm00000017|Phacocystis
Carex_micrantha|E0333|KOR?|spm00000339|Phacocystis
Carex_humbertiana||KOR|spm00000006|Phacocystis
Carex_humbertiana|D1093|KOR?|spm00000334|Phacocystis
Carex_drukyulensis||EHM|spm00003011|Phacocystis
Carex_nigra|B894|NFL|spm00001495|Phacocystis
Carex_elata_subsp._omskiana||Estonia|spm00003154|Phacocystis
Carex_cespitosa||SPA|spm00003246|Phacocystis
Carex_nigra_subsp._transcaucasica||TCS|spm00003281|Phacocystis
Carex_cespitosa|||spm00003210|Phacocystis
Carex_kurdica||IRN|spm00003158|Phacocystis
Carex_nigra|20E8NPJM|SPA|spm00003775|Phacocystis
Carex_trinervis|42E10NPJM|SPA|spm00003778|Phacocystis
Carex_kurdica||GRC|spm00003147|Phacocystis
Carex_nigra||SPA|spm00003108|Phacocystis
Carex_nigra_subsp._transcaucasica||IRN|spm00003280|Phacocystis
Carex_panormitana|22E2SMB13|SAR|spm00003779|Phacocystis
Carex_dacica||ICE|spm00003155|Phacocystis
Carex_buekii||CZE|spm00000558|Phacocystis
Carex_crinita_var._crinita|B183|MAI|spm00000801|Phacocystis
Carex_paysonis||WYO|spm00006159|Scitae
Carex_paysonis||ORE|spm00004437|Scitae
Carex_microchaeta_ssp_|||FASTA.LABEL.NO.SPECIMEN.MATCH|Scitae
Carex_mertensii||WAS|spm00005236|Racemosae
Carex_barrattii|B130|ALA|spm00000748|Limosae
Carex_typhina|B725|LOU|spm00001330|Squarrosae
Carex_shortiana|B622|KTY|spm00001229|Shortianae
Carex_shortiana||KTY|spm00005445|Shortianae
Carex_joorii|B367|FLA|spm00000985|Glaucescentes
Carex_glaucescens|B308|MSI|spm00000926|Glaucescentes
Carex_verrucosa|B768|FLA|spm00001373|Glaucescentes
Carex_brasiliensis||BZS|spm00000366|Glaucescentes
Carex_barbarae|B846|CAL|spm00001449|Phacocystis
Carex_magellanica_ssp_irrigua|Carex_MOR_898A||FASTA.LABEL.NO.SPECIMEN.MATCH|Limosae
Carex_magellanica_ssp_irrigua|Carex_MOR_898B||FASTA.LABEL.NO.SPECIMEN.MATCH|Limosae
Carex_magellanica||FIN|spm00003017|Limosae
Carex_magellanica_subsp._irrigua||FRA|spm00000591|Limosae
Carex_magellanica_subsp._irrigua|B558|MAN|spm00001164|Limosae
Carex_magellanica|||spm00003206|Limosae
Carex_rariflora||NUN|spm00005520|Limosae
Carex_rariflora||NUN|spm00005521|Limosae
Carex_rariflora||NUN|spm00005519|Limosae
Carex_endlichii|B1489|ARI|spm00002095|Phacocystis
Carex_ehrenbergiana||MXC|spm00000298|Fecundae
Carex_tuberculata||MXC|spm00000300|Fecundae
Carex_sect.Fecundae___sp._nov._aff._tuberculata||MXS|spm00000299|Fecundae
Carex_chordalis||MXC|spm00000251|Fecundae
Carex_sect.Fecundae___Chiapas||MXT|spm00000266|Fecundae
Carex_jamesonii||VEN|spm00000517|Fecundae
Carex_breedlovei||MXT|spm00000249|Fecundae
Carex_fecunda|STA_814|BOL|spm00005222|Fecundae
Carex_prasina|B560|GEO|spm00001166|Hymenochlaenae
Carex_haydenii|haydenii_501|WIS|spm00002433|Phacocystis
Carex_boliviensis||MXC|spm00000255|Porocystis
Carex_boliviensis_subsp._occidentalis||MXE|spm00000250|Porocystis
Carex_angustispica||MXS|spm00000262|Porocystis
Carex_swanii|B699|ARK|spm00001304|Porocystis
Carex_complanata|B164|TEX|spm00000782|Porocystis
Carex_misera|B1157|TEN|spm00001764|Hymenochlaenae
Carex_roanensis|B617|NCA|spm00001224|Hymenochlaenae
Carex_virescens|B751|ALA|spm00001356|Porocystis
Carex_arctata|B113|WIS|spm00000731|Hymenochlaenae
Carex_venusta|B767|MSI|spm00001372|Hymenochlaenae
Carex_oxylepis|B531|KTY|spm00001137|Hymenochlaenae
Carex_davisii|B240|DEL|spm00000858|Hymenochlaenae
Carex_gracillima|gracillima_505|WIS|spm00002423|Hymenochlaenae
Carex_tenax|B703|LOU|spm00001308|Hallerianae
Carex_tenax|||spm00005224|Hallerianae
Carex_dasycarpa|B255|GEO|spm00000873|Hallerianae
Carex_hirtifolia|hirtifolia_3204|ILL|spm00002435|Hirtifoliae
Carex_pinophila||MXE|spm00000284|Hymenochlaenae
Carex_whitneyi|B747|CAL|spm00001352|Longicaules
Carex_longicaulis||MXG|spm00000274|Longicaules
Carex_crinalis||ECU|spm00000602|Longicaules
Carex_anisostachys||MXG|spm00000261|Longicaules
Carex_anisostachys||MXT|spm00000258|Longicaules
Carex_anisostachys||MXS|spm00000260|Longicaules
Carex_anisostachys||MXE|spm00000259|Longicaules
Carex_coulteri||MXC|spm00000268|Longicaules
Carex_austromexicana||MXS|spm00000358|Hymenochlaenae
Carex_chiapensis||MXS|spm00000267|Hymenochlaenae
Carex_caligena||MXE|spm00000264|Unplaced_coreCarex
Carex_queretarensis||MXE|spm00000294|Hymenochlaenae
Carex_polymorpha|B1300|MAI|spm00001907|Paniceae
Carex_californica|B1078|CAL|spm00001685|Paniceae
Carex_pallescens|B1401|BRC|spm00002008|Porocystis
Carex_acutiformis|B1516|TVL|spm00002122|Paludosae
Carex_acutiformis||NAT|spm00000165|Paludosae
Carex_acutiformis||CPP|spm00000164|Paludosae
Carex_pseudochinensis|E0479|KOR?|spm00000346|Anomalae
Carex_obliquicarpa||CHS|spm00000089|Confertiflorae
Carex_amplifolia|B097|NEV|spm00000715|Anomalae
Carex_vestita|B758|DEL|spm00001363|Paludosae
Carex_globularis||YAK|spm00004387|Acrocystis
Carex_congdonii|B1079|CAL|spm00001686|Paludosae
Carex_sartwelliana|B1191|CAL|spm00001798|Paludosae
Carex_scirpoidea_var._scirpoidea|B641|ARK|spm00001248|Scirpinae
Carex_scirpoidea||NUN|spm00005533|Scirpinae
Carex_scirpoidea||NUN|spm00005535|Scirpinae
Carex_scirpoidea||NWT|spm00005534|Scirpinae
Carex_scirpoidea||NUN|spm00005532|Scirpinae
Carex_scirpoidea||NUN|spm00005530|Scirpinae
Carex_scirpoidea|STA_180|ABT|spm00005182|Scirpinae
Carex_scirpoidea|STA_180|ABT|spm00005153|Scirpinae
Carex_scabriuscula|||spm00005181|Scirpinae
Carex_glabrescens|D0449|KOR?|spm00000332|Carex
Carex_glabrescens||KOR|spm00000019|Carex
Carex_trichocarpa|B726|DEL|spm00001331|Carex
Carex_sheldonii|B1086|CAL|spm00001693|Carex
Carex_eriophylla||CHM|spm00003460|Carex
Carex_glabrescens||KOR|spm00000014|Carex
Carex_gotoi||KOR|spm00000020|Paludosae
Carex_hirta|B329|PEN|spm00000947|Carex
Carex_aureolensis||MXE|spm00000362|Squarrosae
Carex_aureolensis|B152|MSI|spm00000770|Squarrosae
Carex_elliottii|B1309|FLA|spm00001916|Vesicariae
Carex_lasiocarpa||SPA|spm00000576|Paludosae
Carex_aematorrhyncha||CLS|spm00000532|Paludosae
Carex_striata|B668|FLA|spm00001274|Paludosae
Carex_melanostachya|B947b||spm00001550|Paludosae
Carex_rugulosa||KOR|spm00000001|Paludosae
Carex_rugulosa|E0485|KOR?|spm00000348|Paludosae
Carex_hyalinolepis|B338|TEX|spm00000956|Paludosae
Carex_halliana|B1082|CAL|spm00001689|Paludosae
Carex_membranacea||NUN|spm00005507|Vesicariae
Carex_membranacea||NUN|spm00005506|Vesicariae
Carex_membranacea||NUN|spm00005505|Vesicariae
Carex_membranacea||NUN|spm00005509|Vesicariae
Carex_membranacea||NWT|spm00005503|Vesicariae
Carex_membranacea||YUK|spm00005502|Vesicariae
Carex_rotundata|B1142|MAN|spm00001749|Vesicariae
Carex_membranacea||NUN|spm00005504|Vesicariae
Carex_schweinitzii|B649|MIC|spm00001256|Vesicariae
Carex_saxatilis||NUN|spm00005529|Vesicariae
Carex_saxatilis||NUN|spm00005527|Vesicariae
Carex_raddei||KOR|spm00000007|Carex
Carex_nakasimae|E0483|KOR?|spm00000341|Vesicariae
Carex_pamirensis_subsp._pamirensis||AFG|spm00003377|Vesicariae
Carex_saxatilis|B616|UTA|spm00001223|Vesicariae
Carex_exsiccata|B1369|BRC|spm00001976|Vesicariae
Carex_tuckermanii|B740|MIC|spm00001345|Vesicariae
Carex_baileyi|B133|KTY|spm00000751|Vesicariae
Carex_durangensis||MXE|spm00000272|Vesicariae
Carex_phragmitoides||ETH|spm00000221|Vesicariae
Carex_antoniensis||CVI|spm00002181|Vesicariae
Carex_cognata||NAT|spm00000182|Vesicariae
Carex_thurberi|B1209|ARI|spm00001816|Vesicariae
Carex_sphaerogyna||MDG|spm00000237|Vesicariae
Carex_sphaerogyna||MDG|spm00000238|Vesicariae
Carex_sphaerogyna||MDG|spm00000236|Vesicariae
Carex_polysticha||DOM|spm00000292|Vesicariae
Carex_polysticha||AGE|spm00000566|Vesicariae
Carex_cognata||MLW|spm00000181|Vesicariae
Carex_bullata|B157|MAS|spm00000775|Vesicariae
Carex_lupulina|B472|MRY|spm00001078|Lupulinae
Carex_lupulina||QUE|spm00005229|Lupulinae
Carex_lupulina|lupulina_68|INI|spm00002488|Lupulinae
Carex_louisianica|B390|FLA|spm00001008|Lupulinae
Carex_gigantea|B299|FLA|spm00000917|Lupulinae
Carex_rhodesiaca|Carex_MOR_318||spm00004696|Phacocystis
Carex_inversonervosa||NWC|spm00002193|Phacocystis
Carex_suifunensis|E0525|KOR?|spm00000350|Phacocystis
Carex_aequialta|E0001|KOR?|spm00000320|Phacocystis
Carex_madagascariensis||MDG|spm00002211|Phacocystis
Carex_madagascariensis||MDG|spm00000208|Phacocystis
Carex_madagascariensis||MDG|spm00002210|Phacocystis
Carex_grayi|B306|TEN|spm00000924|Lupulinae
Carex_ivanoviae||CHQ|spm00003371|Lamprochlaenae
Carex_picta|B553|GEO|spm00001159|Pictae
Carex_picta|||spm00005179|Pictae
Carex_baltzellii|B1307|FLA|spm00001914|Pictae
Carex_planostachys|B544|TEX|spm00001150|Hallerianae
Carex_lativena|B1222|NWM|spm00001829|Hallerianae
Carex_planostachys||MXE|spm00000285|Hallerianae
Carex_mabilliana||COR|spm00000594|Hallerianae
Carex_mannii||KEN|spm00000210|Spirostachyae
Carex_mannii_subsp._mannii||EQG|spm00002860|Spirostachyae
Carex_mannii_subsp._friesiorum||KEN|spm00002863|Spirostachyae
Carex_mannii_subsp._mannii||RWA|spm00002861|Spirostachyae
Carex_mannii_subsp._thomasii||ETH|spm00002877|Spirostachyae
Carex_mannii_subsp._thomasii||ETH|spm00002876|Spirostachyae
Carex_vallis_rosetto||UGA|spm00000245|Spirostachyae
Carex_vallis_rosetto||UGA|spm00000244|Spirostachyae
Carex_mannii_subsp._Thomasii||ETH|spm00004347|Spirostachyae
Carex_greenwayi||TAN|spm00004344|Spirostachyae
Carex_petitiana|Carex_MOR_320||spm00004698|Spirostachyae
Carex_greenwayi||TAN|spm00002881|Spirostachyae
Carex_greenwayi||KEN|spm00002882|Spirostachyae
Carex_elgonensis||KEN|spm00002850|Spirostachyae
Carex_vallis_rosetto||MLW|spm00002848|Spirostachyae
Carex_vallis_rosetto||TAN|spm00002847|Spirostachyae
Carex_vallis_rosetto||TAN|spm00002849|Spirostachyae
Carex_vallis_rosetto||TAN|spm00004376|Spirostachyae
Carex_mildbraediana||BUR|spm00002862|Spirostachyae
Carex_mildbraediana||BUR|spm00004361|Spirostachyae
Carex_longipedunculata||KEN|spm00000203|Spirostachyae
Carex_petitiana_subsp._petitiana||KEN|spm00002867|Spirostachyae
Carex_borbonica||REU|spm00004353|Spirostachyae
Carex_boryana||REU|spm00004377|Spirostachyae
